stn       name                                 parameter        data_source                                        lonlat                   coord            elev
JUN       Jungfraujoch                         tre200mn         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         tre200m0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         tre005mn         unknown                                            7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         hns000m0         unknown                                            7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         rre150m0         unknown                                            7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         ure200mn         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         ure200m0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         hto000m0         unknown                                            7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         su2000m0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         sremaxmv         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         fkl010m0         MeteoSchweiz                                       7.59'/46.33'             641938/155287    3571
JUN       Jungfraujoch                         tso010m0         unknown                                            7.59'/46.33'             641938/155287    3571
CDF       La_Chaux-de-Fonds                    pva200m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    ets150m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    nto000m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    gre000m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    prestam0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    tre200mx         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    tre200mn         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    tre200m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    tre005mn         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    hns000m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    rre150m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    ure200mn         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    ure200m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    hto000m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    su2000m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    sremaxmv         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    fkl010m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
CDF       La_Chaux-de-Fonds                    tso010m0         MeteoSchweiz                                       6.48'/47.05'             550919/214861    1017
OTL       Locarno/Monti                      pva200m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      ets150m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      nto000m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      gre000m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      prestam0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      tre200mx         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      tre200mn         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      tre200m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      tre005mn         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      hns000m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      rre150m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      ure200mn         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      ure200m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      hto000m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      su2000m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      sremaxmv         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      fkl010m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
OTL       Locarno/Monti                      tso010m0         MeteoSchweiz                                       8.47'/46.10'             704166/114316    366
LUZ       Luzern                               pva200m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               ets150m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               nto000m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               gre000m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               prestam0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               tre200mx         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               tre200mn         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               tre200m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               tre005mn         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               hns000m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               rre150m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               ure200mn         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               ure200m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               hto000m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               su2000m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               sremaxmv         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               fkl010m0         MeteoSchweiz                                       8.18'/47.02'             665543/209849    454
LUZ       Luzern                               tso010m0         unknown                                            8.18'/47.02'             665543/209849    454
NEU       Neuchatel                            pva200m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            ets150m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            nto000m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            gre000m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            prestam0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            tre200mx         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            tre200mn         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            tre200m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            tre005mn         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            hns000m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            rre150m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            ure200mn         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            ure200m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            hto000m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            su2000m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            sremaxmv         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            fkl010m0         MeteoSchweiz                                       6.57'/47.00'             563086/205559    485
NEU       Neuchatel                            tso010m0         unknown                                            6.57'/47.00'             563086/205559    485
SAM       Samedan                              pva200m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              ets150m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              nto000m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              gre000m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              prestam0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              tre200mx         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              tre200mn         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              tre200m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              tre005mn         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              hns000m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              rre150m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              ure200mn         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              ure200m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              hto000m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              su2000m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              sremaxmv         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              fkl010m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SAM       Samedan                              tso010m0         MeteoSchweiz                                       9.53'/46.32'             787249/155685    1708
SIA       Segl-Maria                           pva200m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           ets150m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           nto000m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           gre000m0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           prestam0         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           tre200mx         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
SIA       Segl-Maria                           tre200mn         MeteoSchweiz                                       9.46'/46.26'             778574/144976    1804
