Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Mittlere Minimum-Temperatur 2m / Grad Celsius / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Rheinfelden	300	2626970 / 1266320	01.1961-12.1990	-3.0	-1.9	0.2	3.0	7.1	10.4	12.3	11.9	9.3	5.9	1.0	-1.9	4.5
Rünenberg	611	2633252 / 1253846	01.1961-12.1990	-3.1	-2.0	0.7	3.6	7.5	10.6	12.7	12.4	9.9	6.0	1.3	-1.9	4.8
S. Bernardino	1638	2734116 / 1147293	01.1961-12.1990	-8.3	-8.0	-5.7	-2.3	1.5	5.0	7.3	6.9	4.6	0.9	-4.0	-7.3	-0.8
Salen-Reutenen	718	2719100 / 1279046	01.1961-12.1990	-3.4	-2.6	0.1	3.0	7.1	10.4	12.6	12.2	9.8	5.9	1.0	-2.4	4.5
Samedan	1708	2787250 / 1155684	01.1961-12.1990	-16.2	-16.2	-12.0	-5.4	-0.8	1.7	3.3	3.0	0.3	-4.1	-10.0	-14.9	-5.9
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	-3.0	-2.1	0.5	3.6	7.5	10.6	12.5	12.1	9.4	5.6	1.0	-1.9	4.7
Scuol	1303	2817138 / 1186393	01.1961-12.1990	-8.9	-7.8	-4.7	-0.9	3.1	6.0	8.0	7.8	5.1	1.1	-4.0	-8.1	-0.3
Segl-Maria	1804	2778576 / 1144976	01.1961-12.1990	-13.5	-13.4	-10.2	-5.4	-0.7	2.4	4.4	4.5	2.1	-1.8	-6.7	-11.1	-4.1
Sion	482	2591632 / 1118583	01.1961-12.1990	-3.8	-2.1	0.8	4.0	7.8	10.8	12.5	12.0	9.0	4.5	-0.1	-3.3	4.3
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	-3.8	-2.9	-0.1	2.8	6.8	9.9	12.1	11.8	9.3	5.4	0.7	-2.8	4.1
Sta. Maria, Val Müstair	1386	2828862 / 1165579	01.1961-12.1990	-6.6	-6.2	-3.6	0.1	4.3	7.5	9.6	9.2	6.7	2.8	-2.2	-5.7	1.3
Stabio	351	2716048 / 1077971	01.1961-12.1990	-4.9	-3.7	-0.3	3.4	7.6	11.0	13.3	12.9	10.1	5.6	0.4	-3.5	4.3
Säntis	2501	2744188 / 1234920	01.1961-12.1990	-10.6	-10.8	-9.7	-7.1	-2.8	0.2	2.6	2.7	1.0	-1.4	-6.8	-9.4	-4.3
Ulrichen	1345	2666747 / 1150766	01.1961-12.1990	-13.1	-12.2	-7.7	-2.7	1.4	4.1	5.9	5.6	3.1	-0.9	-6.6	-11.8	-2.9
Vaduz	457	2757723 / 1221699	01.1961-12.1990	-3.3	-1.8	1.4	4.2	8.2	11.2	13.0	12.8	10.2	5.9	1.2	-2.4	5.1
Visp	639	2631150 / 1128024	01.1961-12.1990	-5.6	-3.7	-0.4	2.5	6.3	9.1	10.7	10.3	7.6	3.3	-1.2	-4.9	2.8
Weissfluhjoch	2691	2780615 / 1189634	01.1961-12.1990	-11.8	-12.1	-10.9	-8.1	-3.7	-0.6	1.8	2.1	0.3	-2.4	-7.6	-10.4	-5.3
Wynau	421	2626405 / 1233849	01.1961-12.1990	-3.4	-2.6	-0.6	2.6	6.6	9.8	11.6	11.2	8.8	5.4	0.9	-2.1	4.0
Wädenswil	485	2693847 / 1230744	01.1961-12.1990	-3.2	-2.1	0.4	3.7	7.7	11.0	13.1	12.6	10.0	6.1	1.5	-1.9	4.9
Zermatt	1638	2624297 / 1097574	01.1961-12.1990	-8.2	-7.6	-5.3	-2.0	2.3	5.0	7.0	6.9	4.4	0.9	-3.8	-6.9	-0.6
Zürich / Affoltern	443	2681433 / 1253547	01.1961-12.1990	-3.7	-2.7	-0.3	2.9	6.9	10.1	12.0	11.6	8.8	5.3	0.7	-2.2	4.1
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	-2.6	-1.7	0.8	3.8	7.6	10.7	12.9	12.5	10.1	6.4	1.6	-1.5	5.1
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	-3.9	-3.2	-0.8	2.4	6.2	9.6	11.5	11.1	8.4	4.9	0.3	-2.6	3.7

