Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Lufttemperatur 2m / Grad Celsius / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Neuchâtel	485	2563086 / 1205559	01.1961-12.1990	0.6	1.9	4.8	8.6	12.8	16.2	18.8	18.0	14.9	10.0	4.7	1.5	9.4
Nyon / Changins	458	2506877 / 1139573	01.1961-12.1990	0.4	1.9	4.8	8.6	12.6	16.1	18.7	17.9	14.7	9.9	4.8	1.5	9.3
Passo del Bernina	2260	2798423 / 1143019	01.1961-12.1990	-7.2	-7.5	-5.7	-2.7	1.8	5.7	8.8	8.4	5.8	2.0	-3.5	-6.3	0.0
Payerne	490	2562130 / 1184611	01.1961-12.1990	-0.6	1.0	4.2	7.9	12.0	15.4	17.9	17.1	14.0	9.2	3.9	0.5	8.5
Pilatus	2105	2661904 / 1203410	01.1961-12.1990	-4.7	-5.0	-3.9	-1.9	2.2	5.3	8.1	7.8	6.2	3.8	-1.4	-3.5	1.1
Piotta	990	2695880 / 1152264	01.1961-12.1990	-1.7	-0.4	2.4	5.8	10.1	13.9	16.5	15.4	12.4	7.8	2.2	-0.7	7.0
Piz Corvatsch	3294	2783155 / 1143524	01.1961-12.1990	-12.4	-12.7	-11.5	-8.8	-4.5	-1.4	1.3	1.3	-0.5	-3.4	-8.7	-11.1	-6.0
Plaffeien	1042	2586828 / 1177406	01.1961-12.1990	-2.0	-1.0	1.2	4.4	8.7	12.2	14.7	14.1	11.4	7.3	2.2	-0.9	6.0
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	-2.1	-0.9	2.4	6.3	10.0	13.3	15.6	14.8	11.7	7.4	2.3	-0.8	6.7
Pully	455	2540819 / 1151510	01.1961-12.1990	1.4	2.8	5.4	9.0	13.1	16.4	19.2	18.3	15.3	11.0	5.5	2.2	10.0
Rheinfelden	300	2626970 / 1266320	01.1961-12.1990	-0.1	1.5	4.6	8.3	12.5	15.8	18.1	17.3	14.1	9.7	4.2	0.9	8.9
