Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 08.01.2024 / Stand: 01.01.2024

Monatswerte Tage mit Niederschlag (>= 1mm) / Anzahl / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Urnäsch	825	2739206 / 1241761	01.1961-12.1990	13.8	11.9	14.6	14.6	15.8	15.5	15.0	14.6	10.7	9.7	12.5	12.9	161.6
Uster	438	2694760 / 1245190	01.1961-12.1990	11.5	10.7	11.9	12.4	13.0	13.1	11.7	12.2	8.8	8.5	10.7	10.9	135.4
Vaduz	457	2757723 / 1221699	01.1961-12.1990	8.8	7.9	9.4	11.2	13.0	13.6	13.6	13.7	9.7	7.5	9.1	8.7	126.2
Valeyres-sous-Rances	510	2530240 / 1178344	01.1961-12.1990	11.0	9.9	11.3	9.9	11.8	10.5	9.1	9.5	8.1	8.3	9.8	10.8	120.0
Vallorbe	748	2519399 / 1174060	01.1961-12.1990	13.2	11.8	13.6	13.0	14.3	12.5	10.8	11.6	9.3	9.9	11.7	12.6	144.3
Vals	1242	2734017 / 1165551	01.1961-12.1990	8.2	7.2	9.1	10.0	12.4	12.3	11.8	12.4	8.9	8.2	9.2	8.5	118.2
Vella	1245	2732650 / 1175669	01.1961-12.1990	8.4	8.0	10.1	9.8	11.7	11.7	11.0	11.5	8.7	7.3	9.4	8.4	116.0
Vevey / Corseaux	405	2552105 / 1146847	01.1961-12.1990	10.6	9.4	11.0	11.1	12.5	11.6	9.4	10.7	8.6	8.2	10.0	9.9	123.0
Vicosoprano	1089	2768486 / 1135865	01.1961-12.1990	6.4	6.5	8.2	10.0	12.9	12.1	10.6	10.8	8.5	8.1	8.3	6.5	108.9
Villars-Tiercelin	859	2544197 / 1163651	01.1961-12.1990	11.3	10.1	11.9	10.9	13.1	11.8	9.5	9.8	8.1	9.0	10.6	11.0	127.1
Vira, Gambarogno	225	2709402 / 1111548	01.1961-12.1990	6.3	6.9	7.6	9.7	13.3	10.5	9.1	9.7	7.7	8.6	8.3	5.7	103.4
Visp	639	2631150 / 1128024	01.1961-12.1990	6.7	6.4	6.9	5.1	7.0	6.6	6.8	7.6	5.3	6.0	7.2	7.3	78.9
Vrin	1384	2727424 / 1168525	01.1961-12.1990	8.7	7.8	9.8	10.6	12.0	12.3	12.9	12.7	9.1	7.9	9.2	8.1	121.1
Vättis	939	2752732 / 1197281	01.1961-12.1990	10.2	8.9	10.7	11.3	12.5	13.2	13.5	13.4	9.7	7.7	9.9	9.7	130.7
Wahlendorf	760	2592250 / 1205940	01.1961-12.1990	11.4	10.9	12.0	12.1	13.7	12.0	10.3	11.2	8.2	9.0	10.4	11.0	132.2
Wald / Tanne	1075	2757025 / 1254229	01.1961-12.1990	13.2	10.5	12.4	13.5	14.9	14.9	13.4	13.2	10.5	8.7	11.6	11.6	148.4
Waldegg	545	2676761 / 1246210	01.1961-12.1990	11.9	10.8	11.9	12.4	13.0	12.5	11.7	12.0	8.7	8.6	10.8	11.1	135.4
Waldenburg	525	2623380 / 1248275	01.1961-12.1990	12.0	11.0	13.5	13.0	13.9	12.9	10.7	11.9	9.1	9.0	11.4	12.0	140.4
Waldweide	1014	2621375 / 1247325	01.1961-12.1990	12.4	11.4	13.8	13.8	14.3	13.4	11.2	12.4	9.3	9.5	12.2	12.1	145.8
Wangen b. Olten	437	2633272 / 1242768	01.1961-12.1990	11.7	9.9	12.1	11.4	12.8	12.0	10.7	11.2	8.5	8.2	10.6	11.3	130.4
Wasen im Emmental	768	2627861 / 1210554	01.1961-12.1990	12.4	11.7	13.9	14.1	15.3	13.8	12.2	12.8	9.3	8.9	11.5	11.7	147.6
Weesen	425	2724983 / 1221382	01.1961-12.1990	12.1	10.5	12.6	12.8	14.2	15.0	14.3	14.2	10.0	8.6	11.0	11.5	146.8
Weinfelden	477	2726403 / 1269982	01.1961-12.1990	11.2	9.9	11.3	11.5	12.9	12.1	11.8	11.8	8.5	8.5	10.6	10.6	130.7
Weissfluhjoch	2691	2780615 / 1189634	01.1961-12.1990	12.4	10.4	12.7	13.4	15.5	16.3	15.5	14.7	10.3	8.9	10.5	10.9	151.5
Weisstannen	1010	2744900 / 1205819	01.1961-12.1990	12.4	10.8	13.3	13.5	14.6	15.5	15.8	15.0	10.8	9.1	11.4	11.5	153.7
Widnau	414	2766489 / 1248854	01.1961-12.1990	11.0	10.0	11.0	12.1	13.8	14.2	13.3	13.5	9.8	8.0	10.3	10.8	137.8
Wil, ZH	406	2680341 / 1273224	01.1961-12.1990	12.1	10.4	12.0	11.9	12.3	11.7	10.9	11.0	8.9	8.6	11.1	11.5	132.4
Wilchingen	413	2676253 / 1280055	01.1961-12.1990	11.4	9.2	10.5	10.8	12.2	10.9	10.3	11.0	8.1	8.3	10.2	10.7	123.6
Wildhaus	998	2746129 / 1229567	01.1961-12.1990	13.4	11.6	14.0	13.6	15.1	15.8	15.0	14.7	10.6	9.3	11.6	12.3	157.0
Wimmis	648	2617298 / 1168863	01.1961-12.1990	11.2	10.4	12.5	12.8	14.8	14.6	12.3	13.3	8.9	8.6	10.5	10.8	140.7
Winterthur / Seen	506	2699845 / 1259053	01.1961-12.1990	12.5	11.0	12.5	12.6	13.1	12.5	11.6	12.2	9.0	9.1	11.8	11.9	139.8
