stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
SAE;200905;5.9;250;755.7;15.5;-7.5;2.9;25;130.1;79.3;307;181.6;40;5.2;74;14.2
SAE;200906;7.1;192;753.9;12.7;-4.2;3.2;33;278.8;91.2;112;97.0;21;5.2;87;5.3
SAE;200907;8.1;199;756.6;15.7;-2.7;6.3;19;367.1;85.5;2;127.3;28;5.9;76;4.6
SAE;200908;8.7;221;758.9;18.0;-0.5;8.5;0;136.9;79.1;0;199.2;47;4.2;60;4.2
SAE;200909;6.8;181;757.2;15.8;-4.2;4.9;8;174.5;78.8;0;189.8;53;3.8;59;5.5
SAE;200910;4.3;108;751.9;11.8;-13.5;-0.3;80;201.3;71.4;37;131.2;39;6.4;71;3.2
SAE;200911;3.8;61;746.4;7.3;-9.5;-2.4;95;208.7;77.8;63;78.0;28;7.8;73;9.8
SAE;200912;2.9;49;738.7;1.4;-22.0;-8.6;198;263.2;83.8;195;71.4;28;7.2;76;12.9
SAE;201001;2.1;71;740.3;-0.8;-20.1;-9.6;116;178.8;72.1;317;123.4;45;6.4;63;2.5
SAE;201002;2.4;108;735.8;0.2;-20.0;-9.2;72;146.4;76.5;370;125.8;44;7.4;66;16.8
SAE;201003;2.8;165;746.1;2.8;-21.2;-7.3;45;203.7;75.5;349;167.6;46;7.6;73;8.0
SAE;201004;4.2;225;750.6;7.6;-12.5;-2.9;31;58.6;82.4;347;185.1;47;4.1;72;3.6
SAE;201005;5.4;202;748.4;8.1;-8.1;-1.0;61;255.0;93.7;296;73.7;16;5.0;90;10.3
SAE;201006;7.0;247;753.5;12.0;-5.4;4.4;19;156.3;83.0;178;159.2;35;4.2;73;6.2
SAE;201007;8.8;235;758.4;18.0;-0.9;7.9;0;321.5;83.1;17;197.2;43;3.5;66;14.7
SAE;201008;7.9;149;755.0;15.4;-4.6;4.9;16;505.5;90.8;1;92.6;22;7.0;82;23.9
SAE;201009;5.5;162;752.8;11.7;-6.5;2.0;64;157.2;79.2;11;147.8;41;4.9;72;4.6
SAE;201010;4.2;127;749.3;11.9;-11.0;0.2;61;100.9;68.0;30;192.0;58;5.8;52;2.5
SAE;201011;3.6;67;740.9;8.3;-17.9;-4.9;151;176.1;81.3;92;93.5;34;7.6;75;15.6
SAE;201012;2.4;48;740.1;0.9;-20.9;-9.8;112;126.1;76.2;258;71.9;28;7.2;77;9.7
SAE;201101;2.5;69;747.1;4.8;-17.7;-7.3;58;133.3;65.8;307;139.7;51;7.2;53;2.3
SAE;201102;2.3;113;747.9;5.1;-18.2;-5.8;65;79.8;60.7;321;163.7;57;6.8;56;2.4
SAE;201103;3.0;173;751.0;3.5;-11.8;-4.0;35;104.1;65.2;361;221.8;61;6.7;46;1.2
