"name";"nat_abbr";"wmo_ind";"chx";"chy";"lon";"lat";"height";"climate.region";"climate.region.nr";"first.year.daily.obs";"last.year.daily.obs";"nr.years.daily.obs.in.standard.per";"nr.na.years.daily.obs.in.standard.per";"first.year.hourly.obs";"last.year.hourly.obs";"nr.years.hourly.obs";"nr.na.years.hourly.obs";"has.hourly.data"
"St. Gallen";"STG";"6681";2747865.848;1254587.703;9.39852777777778;47.425475;775.66;"Nordöstliches Mittelland";3;1961;2020;60;0;1982;2021;40;0;TRUE
"St. Urban";"STU";NA;2630369.5;1229411.204;7.83954166666667;47.2149361111111;488;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Schaan";"SUA";NA;2755510.618;1228259.725;9.49068611111111;47.1869888888889;444;"Östlicher Alpennordhang";6;1970;2020;51;0;2016;2020;4;1;FALSE
"Susch";"SUS";NA;2802002.88;1181593.04;10.0830111111111;46.7548833333333;1416;"Engadin";11;1961;2020;60;0;2013;2020;7;1;FALSE
"Savognin";"SVG";NA;2765387.895;1162662.604;9.59714166666667;46.5947527777778;1172;"Nord- und Mittelbünden";9;1961;2020;60;0;2013;2020;7;1;FALSE
"Schwägalp";"SWA";NA;2742180.626;1235649.735;9.31719166666667;47.2564416666667;1348;"Östlicher Alpennordhang";6;1973;2020;48;0;NA;NA;NA;NA;FALSE
"Schwarzenburg";"SZB";NA;2593149.995;1184720.032;7.34888333333333;46.8135972222222;806;"Zentrales Mittelland";4;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Aadorf / Tänikon";"TAE";"6679";2710518.249;1259824.071;8.90492777777778;47.4798916666667;539;"Nordöstliches Mittelland";3;1971;2020;50;0;1982;2021;40;0;TRUE
"Tamins";"TAM";NA;2750155.753;1188613.726;9.40693055555556;46.8317194444444;667;"Nord- und Mittelbünden";9;1969;2020;52;0;NA;NA;NA;NA;FALSE
"Wald / Tanne";"TAW";NA;2757025.49;1254229.565;9.51975277777778;47.4201333333333;1075;"Östlicher Alpennordhang";6;1977;2020;44;0;NA;NA;NA;NA;FALSE
"Tour de Gourze";"TDG";NA;2546452.612;1151241.438;6.74094722222222;46.5103361111111;915;"Westliches Mittelland";5;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Teufen, AR";"TEU";NA;2747784.629;1250408.59;9.39606944444444;47.3879166666667;834;"Östlicher Alpennordhang";6;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Linthal / Tierfehd";"TFD";NA;2717770.704;1193169.609;8.98371666666667;46.8792111111111;810;"Östlicher Alpennordhang";6;1970;2020;51;0;NA;NA;NA;NA;FALSE
"Thusis";"THS";NA;2753155.804;1175088.508;9.44171111111111;46.7094111111111;672;"Nord- und Mittelbünden";9;1961;2020;60;0;2013;2020;7;1;FALSE
"Thun";"THU";"6731";2611200.687;1177640.112;7.58522222222222;46.7498527777778;570;"Westlicher Alpennordhang";8;1961;2020;60;0;2013;2020;8;0;FALSE
"Tiefencastel";"TIC";NA;2763442.831;1170267.638;9.57447222222222;46.6636194444444;897;"Nord- und Mittelbünden";9;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Trogen";"TRO";NA;2752170.556;1251769.614;9.4546;47.3991555555556;975;"Östlicher Alpennordhang";6;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Trun";"TRU";NA;2719985.566;1178223.605;9.00884166666667;46.7443972222222;834;"Nord- und Mittelbünden";9;1962;2020;59;0;2013;2020;7;1;FALSE
"Tschiertschen";"TST";NA;2765538.874;1187678.699;9.60814166666667;46.8196638888889;1273;"Nord- und Mittelbünden";9;1961;2020;60;0;2014;2020;7;0;FALSE
"Bözberg";"UBB";NA;2652249.82;1259223.15;8.13184722222222;47.4816972222222;536;"Westlicher Jura";2;1961;2020;60;0;2014;2020;6;1;FALSE
"Ulrichen";"ULR";"06745";2666747.693;1150766.733;8.30823611111111;46.5048805555556;1345.87;"Wallis";10;1981;2020;40;0;1982;2021;40;0;TRUE
"Unterkulm";"UNK";NA;2650838.742;1241212.09;8.11108055555555;47.3198194444444;454;"Zentrales Mittelland";4;1961;2020;59;1;2013;2020;8;0;FALSE
"Urnerboden";"URB";NA;2712650.68;1195249.711;8.917075;46.8988055555556;1395;"Östlicher Alpennordhang";6;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Urnäsch";"URN";NA;2739206;1241761;9.27979722222222;47.3120277777778;825;"Östlicher Alpennordhang";6;1961;2020;60;0;2015;2020;5;1;FALSE
"Uster";"UST";NA;2694712.882;1245205.803;8.69217222222222;47.3508944444444;438;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Vaduz";"VAD";"6990";2757723.51;1221699.036;9.51757777777778;47.1274722222222;457.25;"Östlicher Alpennordhang";6;1972;2020;49;0;1982;2021;40;0;TRUE
"Vättis";"VAE";NA;2752732.686;1197281.723;9.4436;46.9090777777778;939;"Nord- und Mittelbünden";9;1961;2020;59;1;2015;2020;5;1;FALSE
"Valeyres-sous-Rances";"VAR";NA;2530240.707;1178344.644;6.525625;46.7526333333333;510;"Westliches Mittelland";5;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Vevey / Corseaux";"VEV";"6603";2552105.694;1146847.436;6.81505555555556;46.4712388888889;405;"Westliches Mittelland";5;1962;2020;58;1;2015;2020;5;1;FALSE
"Vira, Gambarogno";"VIG";NA;2709402.191;1111548.091;8.85462777777778;46.1465333333333;225;"Alpensüdseite";12;1962;2020;58;1;NA;NA;NA;NA;FALSE
"Visp";"VIS";"6727";2631150.608;1128024.024;7.84295833333333;46.3029;639.43;"Wallis";10;1981;2020;40;0;1982;2021;40;0;TRUE
"Vals";"VLS";"6663";2734017.127;1165551.229;9.18871111111111;46.6277583333333;1242;"Nord- und Mittelbünden";9;1961;2020;60;0;2015;2020;5;1;FALSE
"Vrin";"VRI";NA;2727424.645;1168525.479;9.10347222222222;46.6557972222222;1384;"Nord- und Mittelbünden";9;1961;2020;60;0;2015;2020;5;1;FALSE
"La Valsainte";"VST";NA;2580089.684;1166314.075;7.17856111111111;46.6477666666667;1044;"Westlicher Alpennordhang";8;1961;2020;60;0;2018;2020;3;0;FALSE
"Vallorbe";"VVI";NA;2519399.6;1174060.704;6.38450555555556;46.7128777777778;748;"Westlicher Jura";2;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Wädenswil";"WAE";"6673";2693847.997;1230744.027;8.67770555555555;47.2209583333333;485.37;"Nordöstliches Mittelland";3;1962;2020;59;0;1982;2021;40;0;TRUE
"Waldegg";"WAG";NA;2676761.885;1246210.846;8.45478888888889;47.3622694444444;545.3;"Nordöstliches Mittelland";3;1962;2020;59;0;2019;2020;1;1;FALSE
"Wil, ZH";"WBR";NA;2680341.174;1273224.926;8.50703055555556;47.6047833333333;406;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Wilchingen";"WCH";NA;2677053.131;1280206.734;8.464525;47.6679638888889;422;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Wahlendorf";"WDO";NA;2592250.147;1205940.217;7.33673333333333;47.0044694444444;760;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Weesen";"WEE";NA;2724983.808;1221382.742;9.08609166666667;47.1316194444444;425;"Östlicher Alpennordhang";6;1961;2020;60;0;2013;2020;8;0;FALSE
"Weinfelden";"WEF";NA;2726403.879;1269982.571;9.11851388888889;47.568375;477;"Nordöstliches Mittelland";3;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Weisstannen";"WET";NA;2744900.65;1205819.727;9.34354722222222;46.9876111111111;1010;"Östlicher Alpennordhang";6;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Weissfluhjoch";"WFJ";"6780";2780615.722;1189634.308;9.80639444444444;46.833325;2691.24;"Nord- und Mittelbünden";9;1961;2020;59;1;1982;2021;39;1;TRUE
"Wildhaus";"WHA";NA;2746129.658;1229567.749;9.36737222222222;47.2008888888889;998;"Östlicher Alpennordhang";6;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Riedholz / Wallierhof";"WHF";NA;2609394.367;1231491.351;7.56269722222222;47.2342777777778;518;"Zentrales Mittelland";4;1970;2020;51;0;2016;2020;4;1;FALSE
"Wasen im Emmental";"WIE";NA;2627850.425;1210550.073;7.80512777777778;47.0453944444444;770;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Winterthur / Seen";"WIN";NA;2699845.905;1259053.806;8.76318888888889;47.4746722222222;506;"Nordöstliches Mittelland";3;1961;2020;60;0;2013;2020;8;0;FALSE
"Wimmis";"WIS";NA;2617298.938;1168863.717;7.66469722222222;46.670775;648;"Westlicher Alpennordhang";8;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Wittnau";"WIT";NA;2639941.701;1258983.286;7.96853611111111;47.4804027777778;463;"Östlicher Jura";1;1961;2020;59;1;2013;2020;7;1;FALSE
"Witzwil";"WIW";NA;2570636;1205385.321;7.05256388888889;46.9988722222222;433;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Wynau";"WYN";"6643";2626405.475;1233849.233;7.787475;47.255025;421.99;"Zentrales Mittelland";4;1979;2020;42;0;1982;2021;40;0;TRUE
"Yverdon-les-Bains";"YVN";NA;2539851.766;1181493.569;6.65099166666667;46.7818944444444;432;"Westliches Mittelland";5;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Zermatt";"ZER";"6748";2624297.805;1097574.398;7.75243333333333;46.0292722222222;1638.35;"Wallis";10;1961;2020;60;0;1982;2021;40;0;TRUE
"Zervreila";"ZEV";NA;2728780.63;1159992.545;9.11879722222222;46.5787972222222;1738;"Nord- und Mittelbünden";9;1971;2020;50;0;2017;2020;3;1;FALSE
"Zernez";"ZNZ";NA;2802721.958;1175274.951;10.0896222222222;46.6978638888889;1470;"Engadin";11;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Zofingen";"ZOF";NA;2638189.557;1236711.159;7.94339166666667;47.2801888888889;432;"Zentrales Mittelland";4;1961;2020;49;11;NA;NA;NA;NA;FALSE
"Zugerberg";"ZUB";NA;2683016.78;1222025.824;8.53311666666667;47.1439972222222;927;"Zentrales Mittelland";4;1973;2020;48;0;NA;NA;NA;NA;FALSE
