"name";"nat_abbr";"wmo_ind";"chx";"chy";"lon";"lat";"height";"climate.region";"climate.region.nr";"first.year.daily.obs";"last.year.daily.obs";"nr.years.daily.obs.in.standard.per";"nr.na.years.daily.obs.in.standard.per";"first.year.hourly.obs";"last.year.hourly.obs";"nr.years.hourly.obs";"nr.na.years.hourly.obs";"has.hourly.data"
"Engelberg";"ENG";"6655";2674161.606;1186069.271;8.41051388888889;46.8216388888889;1035.66;"Zentraler Alpennordhang";7;1961;2020;60;0;1983;2021;39;0;TRUE
"Entlebuch";"ENT";NA;2647935.6;1204164.941;8.06874722222222;46.9868138888889;768;"Zentraler Alpennordhang";7;1961;2020;60;0;2014;2020;6;1;FALSE
"Eptingen";"EPT";NA;2628720.51;1248410.241;7.81898888888889;47.3858944444444;565;"Östlicher Jura";1;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Erlenbach im Simmental";"ERB";NA;2606536.851;1167474.849;7.52404166666667;46.6584722222222;732;"Westlicher Alpennordhang";8;1970;2020;51;0;NA;NA;NA;NA;FALSE
"Eriswil";"ERI";NA;2631275.48;1214794.088;7.85048888888889;47.0834166666667;729;"Zentrales Mittelland";4;1973;2020;48;0;NA;NA;NA;NA;FALSE
"Eschenz";"ESZ";NA;2707865.959;1278226.598;8.87421111111111;47.6458111111111;414;"Nordöstliches Mittelland";3;1961;2020;60;0;2013;2020;8;0;FALSE
"Euthal";"EUT";NA;2704729.746;1217362.818;8.81824444444444;47.0989805555556;910;"Zentraler Alpennordhang";7;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Evolène / Villa";"EVO";"06722";2605411.502;1106748.151;7.50863055555556;46.1122111111111;1825;"Wallis";10;1986;2020;34;1;1987;2021;35;0;TRUE
"Fahy";"FAH";"6616";2562464.745;1252675.739;6.94119444444444;47.4238138888889;596.39;"Östlicher Jura";1;1961;2020;60;0;1982;2021;40;0;TRUE
"Filisur";"FIL";NA;2772250.921;1171319.682;9.68990555555555;46.6708638888889;1030;"Nord- und Mittelbünden";9;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Flims";"FLI";NA;2740720.689;1188599.763;9.28329444444444;46.8336555555556;1050;"Nord- und Mittelbünden";9;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Flühli, LU";"FLU";"6652";2644332.932;1193311.279;8.02033611111111;46.8894361111111;939.75;"Zentraler Alpennordhang";7;1961;2014;54;0;2015;2020;5;1;FALSE
"Flawil";"FLW";NA;2733136.685;1252977.72;9.20288611111111;47.4141416666667;571;"Nordöstliches Mittelland";3;1961;2020;60;0;2015;2020;5;1;FALSE
"Fruence";"FRC";NA;2558813.1;1152867;6.90184722222222;46.5258305555556;810;"Westliches Mittelland";5;1978;2020;43;0;NA;NA;NA;NA;FALSE
"Bullet / La Frétaz";"FRE";"6619";2534225.12;1188081.788;6.57636944444444;46.8406222222222;1205.43;"Westlicher Jura";2;1979;2020;42;0;1982;2021;40;0;TRUE
"Frauenfeld";"FRF";NA;2709480.921;1270169.629;8.89371111111111;47.5730972222222;393;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Frick";"FRI";NA;2643355.729;1262700.293;8.01418888888889;47.5136166666667;345;"Östlicher Jura";1;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Frutigen";"FRU";"6613";2616773.488;1160883.778;7.65754166666667;46.5990027777778;756;"Westlicher Alpennordhang";8;1961;2020;59;1;2015;2020;5;1;FALSE
"Gadmen";"GAD";NA;2669750.533;1176609.691;8.35126944444444;46.7370305555556;1190;"Westlicher Alpennordhang";8;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Genève / Aïre";"GEA";NA;2495934.351;1116925.196;6.09050833333333;46.1957416666667;376;"Westliches Mittelland";5;1969;2020;52;0;NA;NA;NA;NA;FALSE
"Gempen, SO";"GEP";NA;2616260.529;1260400.486;7.65441666666667;47.4941611111111;585;"Östlicher Jura";1;1970;2020;51;0;NA;NA;NA;NA;FALSE
