stn,year,precip_annual,cluster_pca_h,precip_cluster_mean
GSB,2023,1458.8,1,2170.8
GVE,2000,996,2,968.6
GVE,2001,1217.3,2,1255.1285714285714
GVE,2002,1166.4,2,1226.2142857142858
GVE,2003,736.9,2,771.2
GVE,2004,989.5,2,987.3142857142857
GVE,2005,746.3,2,844.8285714285714
GVE,2006,968.6,2,1124.7571428571428
GVE,2007,1121.1,2,1234.8
GVE,2008,1134.8999999999999,2,1031.2857142857142
GVE,2009,886.4,2,895.9285714285714
GVE,2010,812,2,866.8571428571429
GVE,2011,619,2,811.5142857142857
GVE,2012,970.3,2,1154.4285714285716
GVE,2013,1047.2,2,1066.5857142857142
GVE,2014,1004.6,2,1014.6428571428572
GVE,2015,685.5,2,839.4571428571428
GVE,2016,885.5,2,1106.857142857143
GVE,2017,693,2,888.4142857142857
GVE,2018,864.3,2,938.4428571428571
GVE,2019,842.2,2,1003.4571428571429
GVE,2020,793.8,2,888.9428571428572
GVE,2021,867.1,2,1099.2571428571428
GVE,2022,693.8,2,849.9
GVE,2023,1016.4,2,1113.4285714285713
LUZ,2000,1152.2,3,1307.88
LUZ,2001,1471.7,3,1416.56
LUZ,2002,1460.5,3,1539.84
LUZ,2003,957.4,3,955.24
LUZ,2004,1084.9,3,1127.2
LUZ,2005,1140.4,3,1097.68
LUZ,2006,1202.4,3,1101
LUZ,2007,1261.7,3,1154.38
LUZ,2008,1179.1,3,1227.58
LUZ,2009,1067.6,3,1083.76
LUZ,2010,1360.6,3,1296.26
LUZ,2011,1120.8,3,1171.84
LUZ,2012,1305.9,3,1429.32
LUZ,2013,1212.4,3,1214.26
LUZ,2014,1418.2,3,1294.5
LUZ,2015,1123.4,3,1154.24
LUZ,2016,1422.8,3,1365.86
LUZ,2017,1244.9,3,1386.84
LUZ,2018,1061.8,3,1159.18
LUZ,2019,1131.5,3,1328.66
LUZ,2020,1226.2,3,1295.72
LUZ,2021,1369.4,3,1331.58
LUZ,2022,1141.3,3,1068.74
LUZ,2023,1283.9,3,1474.18
NEU,2000,905.8,2,968.6
NEU,2001,1162.8,2,1255.1285714285714
NEU,2002,1134,2,1226.2142857142858
NEU,2003,698.3,2,771.2
NEU,2004,1072.5,2,987.3142857142857
NEU,2005,728.8,2,844.8285714285714
NEU,2006,1236.7,2,1124.7571428571428
NEU,2007,1301.8,2,1234.8
NEU,2008,967.6,2,1031.2857142857142
NEU,2009,780,2,895.9285714285714
NEU,2010,712.7,2,866.8571428571429
NEU,2011,710.3,2,811.5142857142857
NEU,2012,1124.4,2,1154.4285714285716
NEU,2013,1037.3,2,1066.5857142857142
NEU,2014,921.3000000000001,2,1014.6428571428572
NEU,2015,766.5,2,839.4571428571428
NEU,2016,1087.9,2,1106.857142857143
NEU,2017,754.8,2,888.4142857142857
NEU,2018,889.1,2,938.4428571428571
NEU,2019,960.5,2,1003.4571428571429
NEU,2020,964.9,2,888.9428571428572
NEU,2021,1065.8,2,1099.2571428571428
NEU,2022,832.3000000000001,2,849.9
NEU,2023,973.5,2,1113.4285714285713
OTL,2000,2622.7,4,1734.2666666666667
OTL,2001,1753.9,4,1230.4333333333334
OTL,2002,2649.2,4,1638.8333333333333
OTL,2003,1107.3999999999999,4,783.0999999999999
OTL,2004,1893.8,4,1092.0333333333333
OTL,2005,1057.7,4,757.4333333333334
OTL,2006,1629,4,966.9
OTL,2007,1503.8,4,1019.0333333333333
OTL,2008,2347.1,4,1558.8666666666666
OTL,2009,2106,4,1226.3666666666668
OTL,2010,2019.8,4,1195
OTL,2011,1578.3,4,1003.6
OTL,2012,1862.8999999999999,4,1170.8333333333333
OTL,2013,1947.3,4,1120.3333333333333
OTL,2014,2781.4,4,1649.8666666666668
OTL,2015,1344.5,4,949.4666666666667
OTL,2016,1619.9,4,1103.0666666666666
OTL,2017,1685.5,4,1113.3333333333333
OTL,2018,1465.6,4,1040
OTL,2019,1867.9,4,1300.7666666666667
OTL,2020,1599.1999999999998,4,1102.9333333333334
OTL,2021,1611.6,4,1067.3666666666666
OTL,2022,1283,4,850.5666666666666
OTL,2023,1809.8,4,1259.4666666666667
RAG,2000,1135.9,3,1307.88
RAG,2001,1240.7,3,1416.56
RAG,2002,1291.5,3,1539.84
RAG,2003,738.6,3,955.24
RAG,2004,815.8,3,1127.2
RAG,2005,696.1,3,1097.68
RAG,2006,778,3,1101
RAG,2007,775.2,3,1154.38
RAG,2008,883.9,3,1227.58
RAG,2009,702.7,3,1083.76
RAG,2010,971.5,3,1296.26
RAG,2011,1001.5,3,1171.84
RAG,2012,1425.7,3,1429.32
RAG,2013,989.2,3,1214.26
RAG,2014,1021.2,3,1294.5
RAG,2015,1011.5,3,1154.24
RAG,2016,1157.7,3,1365.86
RAG,2017,1208.5,3,1386.84
RAG,2018,940.8,3,1159.18
RAG,2019,1233.4,3,1328.66
RAG,2020,1124.1,3,1295.72
RAG,2021,1028.5,3,1331.58
RAG,2022,850.9,3,1068.74
RAG,2023,1367.7,3,1474.18
SAE,2000,3058.8,1,2374.825
SAE,2001,3553.1,1,2311.925
SAE,2002,3234.8,1,2632.3
SAE,2003,2219.5,1,1686.45
SAE,2004,2432.1,1,1884.175
SAE,2005,2657.5,1,1926.875
SAE,2006,2850.5,1,1840.775
SAE,2007,3095.8,1,2244.2000000000003
SAE,2008,2560.1,1,2080.5
SAE,2009,2467.2,1,1801.9
SAE,2010,2386.1,1,1954.45
SAE,2011,2518.1,1,1903.425
SAE,2012,2967,1,2327.175
SAE,2013,2822.6,1,1978.65
SAE,2014,2379.2,1,1886.875
SAE,2015,2364.6,1,1806.05
SAE,2016,2939.4,1,1921.375
SAE,2017,3535.5,1,2175.925
SAE,2018,2584.4,1,2026.025
SAE,2019,3549.9,1,2488.475
SAE,2020,2837.4,1,1664.65
SAE,2021,3508.8,1,2087.7
SAE,2022,2639.8,1,1513.3000000000002
SAE,2023,3947.3,1,2170.8
SAM,2000,973.0999999999999,4,1734.2666666666667
SAM,2001,792.6,4,1230.4333333333334
SAM,2002,973.2,4,1638.8333333333333
SAM,2003,527.1,4,783.0999999999999
SAM,2004,593.2,4,1092.0333333333333
SAM,2005,506.6,4,757.4333333333334
SAM,2006,518.2,4,966.9
SAM,2007,661.8,4,1019.0333333333333
SAM,2008,942,4,1558.8666666666666
SAM,2009,658,4,1226.3666666666668
SAM,2010,631.3,4,1195
SAM,2011,574.4,4,1003.6
SAM,2012,699.4,4,1170.8333333333333
SAM,2013,640.2,4,1120.3333333333333
SAM,2014,956.8000000000001,4,1649.8666666666668
SAM,2015,625.7,4,949.4666666666667
SAM,2016,749.7,4,1103.0666666666666
SAM,2017,709.9,4,1113.3333333333333
SAM,2018,664.9,4,1040
SAM,2019,815.3,4,1300.7666666666667
SAM,2020,733.6,4,1102.9333333333334
SAM,2021,647.3,4,1067.3666666666666
SAM,2022,570.5,4,850.5666666666666
SAM,2023,871.9,4,1259.4666666666667
SIA,2000,1607,4,1734.2666666666667
SIA,2001,1144.8,4,1230.4333333333334
SIA,2002,1294.1,4,1638.8333333333333
SIA,2003,714.8,4,783.0999999999999
SIA,2004,789.1,4,1092.0333333333333
SIA,2005,708,4,757.4333333333334
SIA,2006,753.5,4,966.9
SIA,2007,891.5,4,1019.0333333333333
SIA,2008,1387.5,4,1558.8666666666666
